Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cytokine activity (GO:0005125)	8/155	1.8341893196833076E-9	2.111151906955487E-6	0	0	22.939068100358426	461.4575080302868	CXCL10;IL6;TGFB1;IFNG;IL1B;CCL2;TNF;VEGFA
MAP kinase activity (GO:0004707)	4/14	2.2010701653046234E-8	1.2667158801328108E-5	0	0	126.98412698412699	2238.9507381696835	MAPK8;MAPK1;MAPK14;MAPK3
phosphatase binding (GO:0019902)	6/102	1.0513504907232959E-7	4.033681382741712E-5	0	0	26.143790849673206	420.07895768812335	MAPK1;CTNNB1;MAPK14;TP53;EGFR;MAPK3
protein kinase activity (GO:0004672)	10/513	1.608733682533708E-7	4.629131171490745E-5	0	0	8.663634394628547	135.52218595649774	MAPK8;SRC;CDK2;AKT1;CCL2;MAPK1;RAC1;MAPK14;EGFR;MAPK3
heme binding (GO:0020037)	5/72	5.734768512642987E-7	1.3201437116104159E-4	0	0	30.8641975308642	443.5663044802385	SRC;NOS3;HMOX1;CYCS;PTGS2
transcription regulatory region DNA binding (GO:0044212)	8/374	1.6341374334107486E-6	3.1348203097596194E-4	0	0	9.506833036244801	126.67280291373862	RB1;JUN;NR1I2;PPARG;TNF;TP53;NFKB1;PPARD
protein heterodimerization activity (GO:0046982)	7/265	1.9551462094093197E-6	3.21481898147161E-4	0	0	11.740041928721176	154.3233862629974	JUN;BCL2;PPARG;TP53;EGFR;NFKB1;VEGFA
kinase activity (GO:0016301)	7/280	2.815457754962517E-6	4.050739844952321E-4	0	0	11.111111111111112	142.00428552019255	MAPK8;SRC;CDK2;AKT1;CCL2;MAPK1;MAPK3
RNA polymerase II regulatory region DNA binding (GO:0001012)	6/201	5.618974293157428E-6	7.186043790471334E-4	0	0	13.266998341625207	160.3895379214595	RB1;PARP1;NR1I2;PPARG;NFKB1;PPARD
RNA polymerase II transcription factor activity, sequence-specific transcription regulatory region DNA binding (GO:0001133)	3/19	1.0056706502888636E-5	0.001157526918482482	0	0	70.17543859649123	807.5277777048228	NR1I2;PPARG;PPARD
activating transcription factor binding (GO:0033613)	4/68	1.639104835958162E-5	0.0017150996965344042	0	0	26.143790849673206	288.0725543499953	RB1;JUN;CTNNB1;PPARG
protein serine/threonine kinase activity (GO:0004674)	7/368	1.6762609279156173E-5	0.0016078136066923962	0	0	8.454106280193239	92.96439436086821	MAPK8;CDK2;AKT1;MAPK1;RAC1;MAPK14;MAPK3
transcription coactivator activity (GO:0003713)	6/291	4.555284663835325E-5	0.004033178960057276	0	0	9.16380297823597	91.60721595790466	RB1;JUN;NR1I2;CTNNB1;PPARG;PPARD
transcription regulatory region sequence-specific DNA binding (GO:0000976)	6/292	4.643060395176489E-5	0.003817258939177242	0	0	9.132420091324201	91.11919404772078	PARP1;NR1I2;PPARG;TP53;NFKB1;PPARD
growth factor receptor binding (GO:0070851)	4/92	5.407015383845493E-5	0.004148983137870775	0	0	19.32367149758454	189.85948230729116	IL6;SRC;IL1B;VEGFA
