Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
AGE-RAGE signaling pathway in diabetic complications	18/100	7.834347914274966E-32	2.4129791575966893E-29	0	0	90.0	6446.178479766898	JUN;TGFB1;MMP2;MAPK14;TNF;NFKB1;ICAM1;VEGFA;MAPK8;IL6;CASP3;IL1B;BCL2;AKT1;CCL2;MAPK1;RAC1;MAPK3
Pathways in cancer	26/530	9.031221548330165E-32	1.3908081184428454E-29	0	0	24.528301886792455	1753.332942322972	RB1;PTGS2;EGFR;MAPK8;CASP3;AKT1;HMOX1;MAPK1;RAC1;MAPK3;JUN;GSTM1;TGFB1;NOS2;MMP2;NFKB1;VEGFA;IL6;IFNG;GSTA2;CDK2;BCL2;CYCS;PPARG;TP53;PPARD
Fluid shear stress and atherosclerosis	18/139	4.552530716708744E-29	4.673931535820977E-27	0	0	64.74820143884892	4225.421293187875	JUN;GSTM1;MMP2;MAPK14;TNF;NFKB1;ICAM1;VEGFA;MAPK8;IFNG;GSTA2;IL1B;BCL2;AKT1;CCL2;HMOX1;RAC1;TP53
TNF signaling pathway	15/110	1.6944018865463565E-24	1.3046894526406946E-22	0	0	68.18181818181817	3731.9122106312648	JUN;PTGS2;MAPK14;TNF;NFKB1;ICAM1;CXCL10;MAPK8;IL6;CASP3;IL1B;AKT1;CCL2;MAPK1;MAPK3
Hepatitis B	16/163	9.463735885800618E-24	5.82966130565318E-22	0	0	49.079754601226995	2601.942331917491	RB1;JUN;TGFB1;MAPK14;TNF;NFKB1;MAPK8;IL6;CASP3;CDK2;BCL2;AKT1;MAPK1;CYCS;TP53;MAPK3
IL-17 signaling pathway	14/93	1.6690266976018673E-23	8.567670381022918E-22	0	0	75.26881720430107	3947.639951473265	JUN;PTGS2;MAPK14;TNF;NFKB1;CXCL10;MAPK8;IL6;IFNG;CASP3;IL1B;CCL2;MAPK1;MAPK3
Human cytomegalovirus infection	17/225	2.832698800798363E-23	1.2463874723512797E-21	0	0	37.77777777777778	1961.355251355961	RB1;PTGS2;MAPK14;TNF;EGFR;NFKB1;VEGFA;IL6;CASP3;IL1B;AKT1;CCL2;MAPK1;CYCS;RAC1;TP53;MAPK3
Chagas disease (American trypanosomiasis)	14/103	7.649975881340827E-23	2.9452407143162184E-21	0	0	67.96116504854369	3460.9056554035765	JUN;TGFB1;NOS2;MAPK14;TNF;NFKB1;MAPK8;IL6;IFNG;IL1B;AKT1;CCL2;MAPK1;MAPK3
Kaposi sarcoma-associated herpesvirus infection	16/186	8.394545570408232E-23	2.872800039650817E-21	0	0	43.01075268817205	2186.317203474427	RB1;JUN;PTGS2;MAPK14;NFKB1;ICAM1;VEGFA;MAPK8;IL6;CASP3;AKT1;MAPK1;CYCS;RAC1;TP53;MAPK3
Epstein-Barr virus infection	16/201	3.003508888905866E-22	9.250807377830066E-21	0	0	39.80099502487562	1972.4215248178882	RB1;JUN;MAPK14;TNF;NFKB1;ICAM1;CXCL10;MAPK8;IL6;CASP3;CDK2;BCL2;AKT1;CYCS;RAC1;TP53
